shipper_id,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,average_delivery_time,working_shift,join_date,shipper_name,shipper_phone,shipper_gender,shipper_age,shipper_marital_status,shipper_education,city,region,district
SHP00001,Viettel Post,Truck,7,5.0,99.0,61,Evening,2026-03-17,Bùi Văn Long,991476209,Male,27,Married,Bachelor,Phan Rang-Thap Cham,Central,District #25
SHP00002,J&T Express,Van,2,4.9,98.4,72,Afternoon,2025-01-29,Trần Anh Khánh,959297982,Male,41,Married,Bachelor,Phan Thiet,Central,District #29
SHP00003,GHN,Motorbike,10,4.8,95.1,53,Evening,2019-11-13,Hoàng Thị Khánh,927142576,Male,30,Single,High School,Long Xuyen,West,District #34
SHP00004,Viettel Post,Truck,8,5.0,96.3,53,Evening,2025-12-22,Trần Đức Vy,971617475,Female,42,Married,College,Kon Tum,Central,District #27
SHP00005,BEST Express,Truck,10,4.6,95.7,62,Morning,2019-12-19,Trần Minh Cường,979196342,Male,31,Married,College,Da Nang,Central,District #23
SHP00006,J&T Express,Van,9,4.7,96.0,41,Afternoon,2024-02-02,Võ Thanh Nam,951235544,Female,41,Married,Bachelor,Hoi An,Central,District #29
SHP00007,BEST Express,Truck,6,4.4,99.6,75,Afternoon,2024-06-06,Hoàng Anh Hùng,987597617,Female,34,Single,High School,Phu Ly,East,District #09
SHP00008,BEST Express,Truck,5,4.7,95.9,69,Afternoon,2022-03-11,Phạm Thanh Trang,914419500,Female,34,Married,Bachelor,Lao Cai,East,District #16
SHP00009,BEST Express,Truck,12,4.3,97.4,66,Evening,2022-10-06,Nguyễn Thanh Bình,909770946,Female,53,Married,College,Phu Ly,East,District #10
SHP00010,Ahamove,Motorbike,8,4.5,99.5,44,Evening,2022-08-10,Bùi Đức Bình,921691981,Male,31,Single,Bachelor,Tra Vinh,West,District #37
SHP00011,J&T Express,Van,5,4.6,98.4,74,Afternoon,2023-03-23,Võ Thị Hùng,940850445,Female,43,Single,High School,Son Tay,East,District #03
SHP00012,GHTK,Motorbike,6,4.7,97.2,31,Morning,2023-10-01,Nguyễn Thị Bình,972210652,Female,49,Single,Bachelor,Ha Long,East,District #07
SHP00013,BEST Express,Truck,10,4.2,97.7,47,Morning,2025-10-28,Lê Anh Hà,984678290,Female,39,Single,College,Tam Ky,Central,District #23
SHP00014,J&T Express,Van,8,4.8,96.3,71,Evening,2018-02-10,Lê Gia Vy,971290529,Male,50,Single,Bachelor,Phan Thiet,Central,District #32
SHP00015,Viettel Post,Truck,1,4.3,98.8,42,Afternoon,2024-12-22,Bùi Văn Hùng,946414069,Female,48,Single,Bachelor,Son Tay,East,District #06
